cell	view	take	runway_task_id	status	prompt_sha256
classical-omar-en	on_skin	a	2ca8dab1-f8ab-451d-972b-69219f362862	SUCCEEDED	059a71982a5f6d7da9a63985ae36751910bdb5206920b464710f21dc781b6f6c
classical-omar-en	on_skin	b	987ced5e-2d9c-489d-a54d-3723c11c25b8	SUCCEEDED	059a71982a5f6d7da9a63985ae36751910bdb5206920b464710f21dc781b6f6c
classical-omar-en	close_up	a	62f517d7-a8f7-4c70-ad3d-17f68deb6a58	SUCCEEDED	8f704b3ece9bcafaa60e1a9226fb30501cb4d97ea363967dd620379f6bdd89a7
classical-omar-en	close_up	b	c558e57a-5ca3-45be-9dd9-94c6a6043377	SUCCEEDED	8f704b3ece9bcafaa60e1a9226fb30501cb4d97ea363967dd620379f6bdd89a7
classical-omar-en	dark	a	18f8ffeb-104b-498f-b3a3-79d3db7cea5c	SUCCEEDED	7f96be7940d1751c45eee4c7edd7bb8e7aaf8f7c30a01378f2fad8e8b030a89d
classical-omar-en	dark	b	dbbcb0db-f136-48b0-a9c5-d5637a7fb483	SUCCEEDED	7f96be7940d1751c45eee4c7edd7bb8e7aaf8f7c30a01378f2fad8e8b030a89d
classical-asma-en	on_skin	a	2956411e-3680-45e3-a820-1423ae8e8509	SUCCEEDED	936d684497433a8f2ca4fc8e73ffac4f4d0d1709621a1a9f00661e2b3a371010
classical-asma-en	on_skin	b	af881178-ea2e-4fec-8b7b-683c0c8d7fc3	SUCCEEDED	936d684497433a8f2ca4fc8e73ffac4f4d0d1709621a1a9f00661e2b3a371010
classical-asma-en	close_up	a	4f0b2020-6af6-466a-8eb1-87c8825f9166	SUCCEEDED	d5038db2042f8127fa41bf2693b22a3920af22499ce4ed6d7b3e475c8d2bd2e9
classical-asma-en	close_up	b	c750de82-2bf2-4e37-bd2b-1afcf1d32d90	SUCCEEDED	d5038db2042f8127fa41bf2693b22a3920af22499ce4ed6d7b3e475c8d2bd2e9
classical-asma-en	dark	a	49ba9ef9-3384-4f18-8790-5519af1f1905	SUCCEEDED	7f93a0c0ddc4601873cf22fb1dcf20817b63f1e3a9642671fc88e18f9533004f
classical-asma-en	dark	b	231b46cb-d35b-4e7f-9a9a-e281313399d8	SUCCEEDED	7f93a0c0ddc4601873cf22fb1dcf20817b63f1e3a9642671fc88e18f9533004f
classical-love-en	on_skin	a	aade3be1-dd86-4944-9eee-3e35ef9a821e	SUCCEEDED	f0021099360d036590a8dbd575fcc50fcc4dbd292a6ad4e4fcb9e8425abacd33
classical-love-en	on_skin	b	d0315f35-4b5f-4ad9-a0c7-e559fc312abb	SUCCEEDED	f0021099360d036590a8dbd575fcc50fcc4dbd292a6ad4e4fcb9e8425abacd33
classical-love-en	close_up	a	525c7f1d-2819-40e5-9170-529c058fdbac	SUCCEEDED	f349883ff49e6c20b176f6d59a2cf4c7d6db44ed81cd1eb07275549b823dc8ae
classical-love-en	close_up	b	9e10dd7b-dfaf-48bc-a85a-dfe564f570d8	SUCCEEDED	f349883ff49e6c20b176f6d59a2cf4c7d6db44ed81cd1eb07275549b823dc8ae
classical-love-en	dark	a	0ee8f1b3-01e4-4212-aae4-567045c73387	SUCCEEDED	f7c7240ff3bf6f900b479e53daaaacd3549db187685dc6a108e1ec21dd964e1d
classical-love-en	dark	b	14e814e4-b996-40b0-a357-c359fa38103a	SUCCEEDED	f7c7240ff3bf6f900b479e53daaaacd3549db187685dc6a108e1ec21dd964e1d
classical-muhammad-en	on_skin	a	ba85620d-32b9-471c-b7f8-10895a8eb8a0	SUCCEEDED	2a9e1bcb302cd31be259377e78d99937db134de248cbd6d79dad85f3e3bf6e8e
classical-muhammad-en	on_skin	b	fc2600cb-7de7-47e5-9d54-0ce917214881	SUCCEEDED	2a9e1bcb302cd31be259377e78d99937db134de248cbd6d79dad85f3e3bf6e8e
classical-muhammad-en	close_up	a	ad644a43-cf64-4a72-8129-f0f7925baf8f	SUCCEEDED	39671e3c47d15d5f5053d59fac704a161d368ac5e98db65ab468015e39247774
classical-muhammad-en	close_up	b	0d4b225e-e840-4409-9bb5-be8b4636c781	SUCCEEDED	39671e3c47d15d5f5053d59fac704a161d368ac5e98db65ab468015e39247774
classical-muhammad-en	dark	a	2b458f80-0613-4867-bc00-4c1426fbfbfa	SUCCEEDED	98712052c954cc6cdea688168b879c448451d60f07080bb39b6b410a0c94686e
classical-muhammad-en	dark	b	07b8719e-1551-4bc5-a531-9dc015de743e	SUCCEEDED	98712052c954cc6cdea688168b879c448451d60f07080bb39b6b410a0c94686e
classical-muhammad-ar	on_skin	a	25613313-d08e-41a2-a969-acefd1f47db2	SUCCEEDED	f4421c40219645c67b69fba66a9230d0398ae17cd0299bad9a0a0e148c91cf17
